patchName	originalName	method	offsetX	offsetY
title_option3	graph/title_option3	A	1003	394
title_option4	graph/title_option4	A	1003	394
title_option5	graph/title_option5	A	1003	394
title_option6	graph/title_option6	A	1003	394
title_option7	graph/title_option7	A	1003	395
title_option8	graph/title_option8	A	1003	395
title_option9	graph/title_option9	A	1003	395
title_option10	graph/title_option10	A	1003	394
title_option11	graph/title_option11	A	1003	394
title_option12	graph/title_option12	A	1003	394
title_option13	graph/title_option13	A	1003	394
title_option14	graph/title_option14	A	1003	394
title_option15	graph/title_option15	A	1003	394
title_start	graph/title_start	A	1039	94
title_start1	graph/title_start1	A	942	92
title_start2	graph/title_start2	A	942	93
title_start3	graph/title_start3	A	942	93
title_start4	graph/title_start4	A	942	93
title_start5	graph/title_start5	A	942	93
title_start6	graph/title_start6	A	942	93
title_start7	graph/title_start7	A	942	94
title_start8	graph/title_start8	A	942	94
title_start9	graph/title_start9	A	942	94
title_start10	graph/title_start10	A	942	93
title_start11	graph/title_start11	A	942	93
title_start12	graph/title_start12	A	942	93
title_start13	graph/title_start13	A	942	93
title_start14	graph/title_start14	A	942	93
title_start15	graph/title_start15	A	942	93
x禁止	graph/x禁止	A	589	680
warning	graph/warning	A	0	0
ETC_e000b	graph_vis/ETC_e000b	A	0	0
ETC_e001a	graph_vis/ETC_e001a	A	0	0
ETC_e012b	graph_vis/ETC_e012b	A	0	0
ETC_e012c	graph_vis/ETC_e012c	A	0	0
ETC_e012d	graph_vis/ETC_e012d	A	0	0
ETC_e201a	graph_vis/ETC_e201a	A	0	0
ETC_e201b	graph_vis/ETC_e201b	A	0	0
ETC_e201c	graph_vis/ETC_e201c	A	0	0
ETC_e201d	graph_vis/ETC_e201d	A	0	0
ETC_e301a	graph_vis/ETC_e301a	A	0	0
ETC_e302a	graph_vis/ETC_e302a	A	0	0
ETC_e302b	graph_vis/ETC_e302b	A	0	0
